City,Date,AQI
Chennai,2019 W18,78.28571429
Chennai,2019 W19,96
Chennai,2019 W20,113.1428571
Chennai,2019 W21,96.28571429
Chennai,2019 W22,138.5714286
Chennai,2019 W23,132.5714286
Chennai,2019 W24,101.7142857
Chennai,2019 W25,94.85714286
Chennai,2019 W26,112.1428571
Chennai,2019 W27,107.4285714
Chennai,2019 W28,86.14285714
Chennai,2019 W29,83.71428571
Chennai,2019 W30,77.71428571
Chennai,2019 W31,107.8571429
Chennai,2019 W32,83.42857143
Chennai,2019 W33,94.85714286
Chennai,2019 W34,61.71428571
Chennai,2019 W35,86.28571429
Chennai,2019 W36,97.14285714
Chennai,2019 W37,98.28571429
Chennai,2019 W38,106.8571429
Chennai,2019 W39,109.2857143
Chennai,2019 W40,106
Chennai,2019 W41,103.2857143
Chennai,2019 W42,73.42857143
Chennai,2019 W43,114.4285714
Chennai,2019 W44,116.5714286
Chennai,2019 W45,251.7142857
Chennai,2019 W46,100
Chennai,2019 W47,70
Chennai,2019 W48,66.71428571
Chennai,2019 W49,74.42857143
Chennai,2019 W50,63
Chennai,2019 W51,94.57142857
Chennai,2019 W52,90.57142857
Chennai,2020 W01,70.57142857
Chennai,2020 W02,71
Chennai,2020 W03,115.1428571
Chennai,2020 W04,95.85714286
Chennai,2020 W05,75.71428571
Chennai,2020 W06,74.28571429
Chennai,2020 W07,88.85714286
Chennai,2020 W08,76.28571429
Chennai,2020 W09,78.85714286
Chennai,2020 W10,74.28571429
Chennai,2020 W11,70.28571429
Chennai,2020 W12,81.14285714
Chennai,2020 W13,58.42857143
Chennai,2020 W14,66.28571429
Chennai,2020 W15,60.14285714
Chennai,2020 W16,62.28571429
Chennai,2020 W17,61
Chennai,2020 W18,68.42857143
Chennai,2020 W19,72.57142857
Chennai,2020 W20,71.42857143
Chennai,2020 W21,85.71428571
Chennai,2020 W22,88.42857143
Chennai,2020 W23,96
Chennai,2020 W24,102.7142857
Chennai,2020 W25,110.5714286
Chennai,2020 W26,101.8571429
Chennai,2020 W27,102
